Name	Value	Time
txApplied-total	0	2020-01-30T21:21:56.056Z
txRejected-average	0	2020-01-30T21:21:56.056Z
txRejected-total	0	2020-01-30T21:21:56.056Z
txExpired-average	0	2020-01-30T21:21:56.056Z
txExpired-total	0	2020-01-30T21:21:56.056Z
txProcessed-average	0	2020-01-30T21:21:56.056Z
txProcessed-total	0	2020-01-30T21:21:56.056Z
queueLength-average	0.34782608695652173	2020-01-30T21:21:56.056Z
queueLength-value	2	2020-01-30T21:21:56.056Z
serverLoad-average	0.0006268147311625573	2020-01-30T21:21:56.056Z
serverLoad-value	0.009181818181818182	2020-01-30T21:21:56.056Z
txTimeInQueue-average	0.26269565217391305	2020-01-30T21:21:56.056Z
txInjected-average	0.08333333333333333	2020-01-30T21:21:57.058Z
txInjected-total	2	2020-01-30T21:21:57.058Z
txApplied-average	0	2020-01-30T21:21:57.058Z
txApplied-total	0	2020-01-30T21:21:57.058Z
txRejected-average	0	2020-01-30T21:21:57.058Z
txRejected-total	0	2020-01-30T21:21:57.058Z
txExpired-average	0	2020-01-30T21:21:57.058Z
txExpired-total	0	2020-01-30T21:21:57.058Z
txProcessed-average	0	2020-01-30T21:21:57.058Z
txProcessed-total	0	2020-01-30T21:21:57.058Z
queueLength-average	0.4166666666666667	2020-01-30T21:21:57.058Z
queueLength-value	2	2020-01-30T21:21:57.058Z
serverLoad-average	0.001330407595624987	2020-01-30T21:21:57.058Z
serverLoad-value	0.01751304347826087	2020-01-30T21:21:57.058Z
txTimeInQueue-average	0.419	2020-01-30T21:21:57.058Z
txInjected-average	0.08	2020-01-30T21:21:58.058Z
txInjected-total	2	2020-01-30T21:21:58.058Z
txApplied-average	0	2020-01-30T21:21:58.058Z
txApplied-total	0	2020-01-30T21:21:58.058Z
txRejected-average	0	2020-01-30T21:21:58.058Z
txRejected-total	0	2020-01-30T21:21:58.058Z
txExpired-average	0	2020-01-30T21:21:58.058Z
txExpired-total	0	2020-01-30T21:21:58.058Z
txProcessed-average	0	2020-01-30T21:21:58.058Z
txProcessed-total	0	2020-01-30T21:21:58.058Z
queueLength-average	0.48	2020-01-30T21:21:58.058Z
queueLength-value	2	2020-01-30T21:21:58.058Z
serverLoad-average	0.002394524625133321	2020-01-30T21:21:58.058Z
serverLoad-value	0.02793333333333333	2020-01-30T21:21:58.058Z
txTimeInQueue-average	0.6028	2020-01-30T21:21:58.058Z
txInjected-average	0.07692307692307693	2020-01-30T21:21:59.061Z
txInjected-total	2	2020-01-30T21:21:59.061Z
txApplied-average	0	2020-01-30T21:21:59.061Z
txApplied-total	0	2020-01-30T21:21:59.061Z
txRejected-average	0	2020-01-30T21:21:59.061Z
txRejected-total	0	2020-01-30T21:21:59.061Z
txExpired-average	0	2020-01-30T21:21:59.061Z
txExpired-total	0	2020-01-30T21:21:59.061Z
txProcessed-average	0	2020-01-30T21:21:59.061Z
txProcessed-total	0	2020-01-30T21:21:59.061Z
queueLength-average	0.5384615384615384	2020-01-30T21:21:59.061Z
queueLength-value	2	2020-01-30T21:21:59.061Z
serverLoad-average	0.0038480685498076808	2020-01-30T21:21:59.061Z
serverLoad-value	0.04018666666666667	2020-01-30T21:21:59.061Z
txTimeInQueue-average	0.8110384615384616	2020-01-30T21:21:59.061Z
txInjected-average	0.07407407407407407	2020-01-30T21:22:00.062Z
txInjected-total	2	2020-01-30T21:22:00.062Z
txApplied-average	0.07407407407407407	2020-01-30T21:22:00.062Z
txApplied-total	2	2020-01-30T21:22:00.062Z
txRejected-average	0	2020-01-30T21:22:00.062Z
