Name	Value	Time
txApplied-average	0	2019-12-25T00:43:13.777Z
txApplied-total	0	2019-12-25T00:43:13.777Z
txRejected-average	0	2019-12-25T00:43:13.777Z
txRejected-total	0	2019-12-25T00:43:13.777Z
txExpired-average	0	2019-12-25T00:43:13.777Z
txExpired-total	0	2019-12-25T00:43:13.777Z
txProcessed-average	0	2019-12-25T00:43:13.777Z
txProcessed-total	0	2019-12-25T00:43:13.777Z
queueLength-average	0	2019-12-25T00:43:13.777Z
queueLength-value	0	2019-12-25T00:43:13.777Z
serverLoad-average	0	2019-12-25T00:43:13.777Z
serverLoad-value	0	2019-12-25T00:43:13.777Z
txTimeInQueue-average	0	2019-12-25T00:43:13.777Z
txInjected-average	0	2019-12-25T00:43:14.780Z
txInjected-total	0	2019-12-25T00:43:14.780Z
txApplied-average	0	2019-12-25T00:43:14.780Z
txApplied-total	0	2019-12-25T00:43:14.780Z
txRejected-average	0	2019-12-25T00:43:14.780Z
txRejected-total	0	2019-12-25T00:43:14.780Z
txExpired-average	0	2019-12-25T00:43:14.780Z
txExpired-total	0	2019-12-25T00:43:14.780Z
txProcessed-average	0	2019-12-25T00:43:14.780Z
txProcessed-total	0	2019-12-25T00:43:14.780Z
queueLength-average	0	2019-12-25T00:43:14.780Z
queueLength-value	0	2019-12-25T00:43:14.780Z
serverLoad-average	0	2019-12-25T00:43:14.780Z
serverLoad-value	0	2019-12-25T00:43:14.780Z
txTimeInQueue-average	0	2019-12-25T00:43:14.780Z
txInjected-average	0	2019-12-25T00:43:15.781Z
txInjected-total	0	2019-12-25T00:43:15.781Z
txApplied-average	0	2019-12-25T00:43:15.781Z
txApplied-total	0	2019-12-25T00:43:15.781Z
txRejected-average	0	2019-12-25T00:43:15.781Z
txRejected-total	0	2019-12-25T00:43:15.781Z
txExpired-average	0	2019-12-25T00:43:15.781Z
txExpired-total	0	2019-12-25T00:43:15.781Z
txProcessed-average	0	2019-12-25T00:43:15.781Z
txProcessed-total	0	2019-12-25T00:43:15.781Z
queueLength-average	0	2019-12-25T00:43:15.781Z
queueLength-value	0	2019-12-25T00:43:15.781Z
serverLoad-average	0	2019-12-25T00:43:15.781Z
serverLoad-value	0	2019-12-25T00:43:15.781Z
txTimeInQueue-average	0	2019-12-25T00:43:15.781Z
txInjected-average	0	2019-12-25T00:43:16.781Z
txInjected-total	0	2019-12-25T00:43:16.781Z
txApplied-average	0	2019-12-25T00:43:16.781Z
txApplied-total	0	2019-12-25T00:43:16.781Z
txRejected-average	0	2019-12-25T00:43:16.781Z
txRejected-total	0	2019-12-25T00:43:16.781Z
txExpired-average	0	2019-12-25T00:43:16.781Z
txExpired-total	0	2019-12-25T00:43:16.781Z
txProcessed-average	0	2019-12-25T00:43:16.781Z
txProcessed-total	0	2019-12-25T00:43:16.781Z
queueLength-average	0	2019-12-25T00:43:16.781Z
queueLength-value	0	2019-12-25T00:43:16.781Z
serverLoad-average	0	2019-12-25T00:43:16.781Z
serverLoad-value	0	2019-12-25T00:43:16.781Z
txTimeInQueue-average	0	2019-12-25T00:43:16.781Z
txInjected-average	0	2019-12-25T00:43:17.783Z
txInjected-total	0	2019-12-25T00:43:17.783Z
txApplied-average	0	2019-12-25T00:43:17.783Z
txApplied-total	0	2019-12-25T00:43:17.783Z
txRejected-average	0	2019-12-25T00:43:17.783Z
txRejected-total	0	2019-12-25T00:43:17.783Z
txExpired-average	0	2019-12-25T00:43:17.783Z
txExpired-total	0	2019-12-25T00:43:17.783Z
txProcessed-average	0	2019-12-25T00:43:17.783Z
txProcessed-total	0	2019-12-25T00:43:17.783Z
queueLength-average	0	2019-12-25T00:43:17.783Z
queueLength-value	0	2019-12-25T00:43:17.783Z
serverLoad-average	0	2019-12-25T00:43:17.783Z
serverLoad-value	0	2019-12-25T00:43:17.783Z
txTimeInQueue-average	0	2019-12-25T00:43:17.783Z
txInjected-average	0	2019-12-25T00:43:18.787Z
txInjected-total	0	2019-12-25T00:43:18.787Z
txApplied-average	0	2019-12-25T00:43:18.787Z
txApplied-total	0	2019-12-25T00:43:18.787Z
txRejected-average	0	2019-12-25T00:43:18.787Z
txRejected-total	0	2019-12-25T00:43:18.787Z
txExpired-average	0	2019-12-25T00:43:18.787Z
txExpired-total	0	2019-12-25T00:43:18.787Z
txProcessed-average	0	2019-12-25T00:43:18.787Z
txProcessed-total	0	2019-12-25T00:43:18.787Z
queueLength-average	0	2019-12-25T00:43:18.787Z
queueLength-value	0	2019-12-25T00:43:18.787Z
serverLoad-average	0	2019-12-25T00:43:18.787Z
serverLoad-value	0	2019-12-25T00:43:18.787Z
txTimeInQueue-average	0	2019-12-25T00:43:18.787Z
txInjected-average	0	2019-12-25T00:43:19.790Z
txInjected-total	0	2019-12-25T00:43:19.790Z
txApplied-average	0	2019-12-25T00:43:19.790Z
txApplied-total	0	2019-12-25T00:43:19.790Z
txRejected-average	0	2019-12-25T00:43:19.790Z
txRejected-total	0	2019-12-25T00:43:19.790Z
txExpired-average	0	2019-12-25T00:43:19.790Z
txExpired-total	0	2019-12-25T00:43:19.790Z
txProcessed-average	0	2019-12-25T00:43:19.790Z
txProcessed-total	0	2019-12-25T00:43:19.790Z
queueLength-average	0	2019-12-25T00:43:19.790Z
queueLength-value	0	2019-12-25T00:43:19.790Z
serverLoad-average	0	2019-12-25T00:43:19.790Z
serverLoad-value	0	2019-12-25T00:43:19.790Z
txTimeInQueue-average	0	2019-12-25T00:43:19.790Z
txInjected-average	0	2019-12-25T00:43:20.793Z
txInjected-total	0	2019-12-25T00:43:20.793Z
txApplied-average	0	2019-12-25T00:43:20.793Z
txApplied-total	0	2019-12-25T00:43:20.793Z
txRejected-average	0	2019-12-25T00:43:20.793Z
txRejected-total	0	2019-12-25T00:43:20.793Z
txExpired-average	0	2019-12-25T00:43:20.793Z
txExpired-total	0	2019-12-25T00:43:20.793Z
txProcessed-average	0	2019-12-25T00:43:20.793Z
txProcessed-total	0	2019-12-25T00:43:20.793Z
queueLength-average	0	2019-12-25T00:43:20.793Z
queueLength-value	0	2019-12-25T00:43:20.793Z
serverLoad-average	0	2019-12-25T00:43:20.793Z
serverLoad-value	0	2019-12-25T00:43:20.793Z
txTimeInQueue-average	0	2019-12-25T00:43:20.793Z
txInjected-average	0	2019-12-25T00:43:21.796Z
txInjected-total	0	2019-12-25T00:43:21.796Z
txApplied-average	0	2019-12-25T00:43:21.796Z
txApplied-total	0	2019-12-25T00:43:21.796Z
txRejected-average	0	2019-12-25T00:43:21.796Z
txRejected-total	0	2019-12-25T00:43:21.796Z
txExpired-average	0	2019-12-25T00:43:21.796Z
txExpired-total	0	2019-12-25T00:43:21.796Z
txProcessed-average	0	2019-12-25T00:43:21.796Z
txProcessed-total	0	2019-12-25T00:43:21.796Z
queueLength-average	0	2019-12-25T00:43:21.796Z
queueLength-value	0	2019-12-25T00:43:21.796Z
serverLoad-average	0	2019-12-25T00:43:21.796Z
serverLoad-value	0	2019-12-25T00:43:21.796Z
txTimeInQueue-average	0	2019-12-25T00:43:21.796Z
txInjected-average	0	2019-12-25T00:43:22.798Z
txInjected-total	0	2019-12-25T00:43:22.798Z
txApplied-average	0	2019-12-25T00:43:22.798Z
txApplied-total	0	2019-12-25T00:43:22.798Z
txRejected-average	0	2019-12-25T00:43:22.798Z
txRejected-total	0	2019-12-25T00:43:22.798Z
txExpired-average	0	2019-12-25T00:43:22.798Z
txExpired-total	0	2019-12-25T00:43:22.798Z
txProcessed-average	0	2019-12-25T00:43:22.798Z
txProcessed-total	0	2019-12-25T00:43:22.798Z
queueLength-average	0.06896551724137931	2019-12-25T00:43:22.798Z
queueLength-value	2	2019-12-25T00:43:22.798Z
serverLoad-average	0	2019-12-25T00:43:22.798Z
serverLoad-value	0	2019-12-25T00:43:22.798Z
txTimeInQueue-average	0.026310344827586207	2019-12-25T00:43:22.798Z
txInjected-average	0	2019-12-25T00:43:23.802Z
txInjected-total	0	2019-12-25T00:43:23.802Z
txApplied-average	0	2019-12-25T00:43:23.802Z
txApplied-total	0	2019-12-25T00:43:23.802Z
txRejected-average	0	2019-12-25T00:43:23.802Z
txRejected-total	0	2019-12-25T00:43:23.802Z
txExpired-average	0	2019-12-25T00:43:23.802Z
txExpired-total	0	2019-12-25T00:43:23.802Z
txProcessed-average	0	2019-12-25T00:43:23.802Z
txProcessed-total	0	2019-12-25T00:43:23.802Z
queueLength-average	0.13333333333333333	2019-12-25T00:43:23.802Z
queueLength-value	2	2019-12-25T00:43:23.802Z
serverLoad-average	0.00017540229885057472	2019-12-25T00:43:23.802Z
serverLoad-value	0.005262068965517242	2019-12-25T00:43:23.802Z
txTimeInQueue-average	0.08433333333333333	2019-12-25T00:43:23.802Z
txInjected-average	0	2019-12-25T00:43:24.802Z
txInjected-total	0	2019-12-25T00:43:24.802Z
txApplied-average	0	2019-12-25T00:43:24.802Z
txApplied-total	0	2019-12-25T00:43:24.802Z
txRejected-average	0	2019-12-25T00:43:24.802Z
txRejected-total	0	2019-12-25T00:43:24.802Z
txExpired-average	0	2019-12-25T00:43:24.802Z
txExpired-total	0	2019-12-25T00:43:24.802Z
txProcessed-average	0	2019-12-25T00:43:24.802Z
txProcessed-total	0	2019-12-25T00:43:24.802Z
queueLength-average	0.1935483870967742	2019-12-25T00:43:24.802Z
queueLength-value	2	2019-12-25T00:43:24.802Z
serverLoad-average	0.0007138301816833518	2019-12-25T00:43:24.802Z
serverLoad-value	0.016866666666666665	2019-12-25T00:43:24.802Z
txTimeInQueue-average	0.1708709677419355	2019-12-25T00:43:24.802Z
txInjected-average	0	2019-12-25T00:43:25.803Z
txInjected-total	0	2019-12-25T00:43:25.803Z
txApplied-average	0	2019-12-25T00:43:25.803Z
txApplied-total	0	2019-12-25T00:43:25.803Z
txRejected-average	0	2019-12-25T00:43:25.803Z
txRejected-total	0	2019-12-25T00:43:25.803Z
txExpired-average	0	2019-12-25T00:43:25.803Z
txExpired-total	0	2019-12-25T00:43:25.803Z
txProcessed-average	0	2019-12-25T00:43:25.803Z
txProcessed-total	0	2019-12-25T00:43:25.803Z
queueLength-average	0.25	2019-12-25T00:43:25.803Z
queueLength-value	2	2019-12-25T00:43:25.803Z
serverLoad-average	0.0017594665368928439	2019-12-25T00:43:25.803Z
serverLoad-value	0.0341741935483871	2019-12-25T00:43:25.803Z
txTimeInQueue-average	0.28328125	2019-12-25T00:43:25.803Z
txInjected-average	0	2019-12-25T00:43:26.806Z
txInjected-total	0	2019-12-25T00:43:26.806Z
txApplied-average	0	2019-12-25T00:43:26.806Z
txApplied-total	0	2019-12-25T00:43:26.806Z
txRejected-average	0	2019-12-25T00:43:26.806Z
txRejected-total	0	2019-12-25T00:43:26.806Z
txExpired-average	0	2019-12-25T00:43:26.806Z
txExpired-total	0	2019-12-25T00:43:26.806Z
txProcessed-average	0	2019-12-25T00:43:26.806Z
txProcessed-total	0	2019-12-25T00:43:26.806Z
queueLength-average	0.30303030303030304	2019-12-25T00:43:26.806Z
queueLength-value	2	2019-12-25T00:43:26.806Z
serverLoad-average	0.0034230054297142726	2019-12-25T00:43:26.806Z
serverLoad-value	0.05665625	2019-12-25T00:43:26.806Z
txTimeInQueue-average	0.41927272727272724	2019-12-25T00:43:26.806Z
txInjected-average	0	2019-12-25T00:43:27.806Z
txInjected-total	0	2019-12-25T00:43:27.806Z
txApplied-average	0	2019-12-25T00:43:27.806Z
txApplied-total	0	2019-12-25T00:43:27.806Z
txRejected-average	0	2019-12-25T00:43:27.806Z
txRejected-total	0	2019-12-25T00:43:27.806Z
txExpired-average	0	2019-12-25T00:43:27.806Z
txExpired-total	0	2019-12-25T00:43:27.806Z
txProcessed-average	0	2019-12-25T00:43:27.806Z
txProcessed-total	0	2019-12-25T00:43:27.806Z
queueLength-average	0.35294117647058826	2019-12-25T00:43:27.806Z
queueLength-value	2	2019-12-25T00:43:27.806Z
serverLoad-average	0.005788638959856366	2019-12-25T00:43:27.806Z
serverLoad-value	0.08385454545454545	2019-12-25T00:43:27.806Z
txTimeInQueue-average	0.5766764705882352	2019-12-25T00:43:27.806Z
txInjected-average	0	2019-12-25T00:43:28.807Z
txInjected-total	0	2019-12-25T00:43:28.807Z
txApplied-average	0.05714285714285714	2019-12-25T00:43:28.807Z
txApplied-total	2	2019-12-25T00:43:28.807Z
txRejected-average	0	2019-12-25T00:43:28.807Z
txRejected-total	0	2019-12-25T00:43:28.807Z
txExpired-average	0	2019-12-25T00:43:28.807Z
txExpired-total	0	2019-12-25T00:43:28.807Z
txProcessed-average	0	2019-12-25T00:43:28.807Z
txProcessed-total	0	2019-12-25T00:43:28.807Z
